date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,cumulative_confirmed_for_each_Location,precentage_of_recovered_per_day,precentage_of_tested_per_day,precentage_of_deceased_per_day,precentage_of_confirmed_per_day,precentage_of_death_from_confirmed,recovery-rate,case_to_recovery_ratio
2020-07-09,Pt_30,0.0,0.0,0.0,,95.0,0.0,0.0,2406760.221967655,95.0,,,,0.0,0.0,0.0,inf
2020-07-09,Pt_20,2.0,0.0,0.0,,151.0,15.0,0.0,2406760.221967655,151.0,,,0.0,0.013245033112582781,0.09933774834437085,0.0,inf
2020-07-09,Pt_11,57.0,0.0,0.0,,17957.0,821.0,16.0,2406760.221967655,17957.0,0.0,,0.0,0.003174249596257727,0.04572033190399287,0.0008910174305284847,1122.3125
2020-07-09,Pt_18,11.0,0.0,0.0,,562.0,18.0,0.0,2406760.221967655,562.0,,,0.0,0.019572953736654804,0.03202846975088968,0.0,inf
2020-07-09,Pt_17,328.0,13.0,0.0,,21584.0,527.0,17.0,2406760.221967655,21584.0,0.0,,0.024667931688804556,0.01519644180874722,0.024416234247590807,0.0007876204595997035,1269.6470588235295
2020-07-09,Pt_15,7.0,0.0,0.0,,683.0,15.0,0.0,2406760.221967655,683.0,,,0.0,0.010248901903367497,0.021961932650073207,0.0,inf
2020-07-09,Pt_16,13.0,0.0,0.0,,4245.0,248.0,10.0,2406760.221967655,4245.0,0.0,,0.0,0.003062426383981154,0.05842167255594818,0.002355712603062426,424.5
2020-07-19,Af_Pan,25.0,1.0,86.0,,285.0,16.0,208.0,2406760.221967655,285.0,0.41346153846153844,,0.0625,0.08771929824561403,0.056140350877192984,0.7298245614035088,1.3701923076923077
2020-07-19,Af_Nur,1.0,0.0,0.0,,75.0,0.0,17.0,2406760.221967655,75.0,0.0,,,0.013333333333333334,0.0,0.22666666666666666,4.411764705882353
2020-07-19,Af_Nim,29.0,1.0,10.0,,374.0,8.0,314.0,2406760.221967655,374.0,0.03184713375796178,,0.125,0.07754010695187166,0.0213903743315508,0.839572192513369,1.1910828025477707
